date,년월,품목,그룹,레벨,수출액_억불,YoY_증감률_pct
2015-01-01,2015-01,개별소자,개별소자,대분류,1.3,-5.4
2015-01-01,2015-01,디스플레이 패널,디스플레이,별도,26.6,-90.3
2015-01-01,2015-01,메모리,메모리,대분류,28.3,17.6
2015-01-01,2015-01,메모리 D램,메모리,세부,18.6,32.8
2015-01-01,2015-01,메모리 MCP,메모리,세부,6.7,-1.7
2015-01-01,2015-01,메모리 낸드,메모리,세부,3.0,-7.4
2015-01-01,2015-01,반도체,반도체 합계,합계,52.6,13.3
2015-01-01,2015-01,시스템 반도체,시스템반도체,대분류,19.1,9.4
2015-02-01,2015-02,개별소자,개별소자,대분류,1.1,-21.0
2015-02-01,2015-02,디스플레이 패널,디스플레이,별도,22.9,-13.6
2015-02-01,2015-02,메모리,메모리,대분류,26.7,15.7
2015-02-01,2015-02,메모리 D램,메모리,세부,17.6,35.5
2015-02-01,2015-02,메모리 MCP,메모리,세부,6.4,-8.2
2015-02-01,2015-02,메모리 낸드,메모리,세부,2.6,-13.4
2015-02-01,2015-02,반도체,반도체 합계,합계,47.6,6.4
2015-02-01,2015-02,시스템 반도체,시스템반도체,대분류,16.4,-2.0
2015-03-01,2015-03,개별소자,개별소자,대분류,1.3,-15.2
2015-03-01,2015-03,디스플레이 패널,디스플레이,별도,26.2,14.3
2015-03-01,2015-03,메모리,메모리,대분류,27.7,1.8
2015-03-01,2015-03,메모리 D램,메모리,세부,17.3,9.1
2015-03-01,2015-03,메모리 MCP,메모리,세부,8.2,-0.8
2015-03-01,2015-03,메모리 낸드,메모리,세부,2.1,-28.3
2015-03-01,2015-03,반도체,반도체 합계,합계,53.9,2.9
2015-03-01,2015-03,시스템 반도체,시스템반도체,대분류,20.9,7.1
2015-04-01,2015-04,개별소자,개별소자,대분류,1.3,-18.7
2015-04-01,2015-04,디스플레이 패널,디스플레이,별도,26.9,2.4
2015-04-01,2015-04,메모리,메모리,대분류,26.9,4.6
2015-04-01,2015-04,메모리 D램,메모리,세부,16.1,10.8
2015-04-01,2015-04,메모리 MCP,메모리,세부,8.5,6.6
2015-04-01,2015-04,메모리 낸드,메모리,세부,2.2,-29.1
2015-04-01,2015-04,반도체,반도체 합계,합계,51.6,6.9
2015-04-01,2015-04,시스템 반도체,시스템반도체,대분류,19.8,14.8
2015-05-01,2015-05,개별소자,개별소자,대분류,1.2,-19.5
2015-05-01,2015-05,디스플레이 패널,디스플레이,별도,26.7,-0.4
2015-05-01,2015-05,메모리,메모리,대분류,26.1,-4.0
2015-05-01,2015-05,메모리 D램,메모리,세부,15.9,3.9
2015-05-01,2015-05,메모리 MCP,메모리,세부,8.0,-2.8
2015-05-01,2015-05,메모리 낸드,메모리,세부,2.1,-40.3
2015-05-01,2015-05,반도체,반도체 합계,합계,51.1,4.3
2015-05-01,2015-05,시스템 반도체,시스템반도체,대분류,20.5,23.5
2015-06-01,2015-06,개별소자,개별소자,대분류,1.2,-16.4
2015-06-01,2015-06,디스플레이 패널,디스플레이,별도,25.8,-3.5
2015-06-01,2015-06,메모리,메모리,대분류,28.7,-0.9
2015-06-01,2015-06,메모리 D램,메모리,세부,18.0,13.2
2015-06-01,2015-06,메모리 MCP,메모리,세부,8.3,-6.2
2015-06-01,2015-06,메모리 낸드,메모리,세부,2.3,-43.4
2015-06-01,2015-06,반도체,반도체 합계,합계,53.1,2.9
2015-06-01,2015-06,시스템 반도체,시스템반도체,대분류,19.3,10.8
2015-07-01,2015-07,개별소자,개별소자,대분류,1.3,-12.2
2015-07-01,2015-07,디스플레이 패널,디스플레이,별도,25.6,-0.7
2015-07-01,2015-07,메모리,메모리,대분류,28.2,-1.4
2015-07-01,2015-07,메모리 D램,메모리,세부,16.7,0.3
2015-07-01,2015-07,메모리 MCP,메모리,세부,9.3,11.9
2015-07-01,2015-07,메모리 낸드,메모리,세부,2.2,-39.1
2015-07-01,2015-07,반도체,반도체 합계,합계,51.4,6.2
2015-07-01,2015-07,시스템 반도체,시스템반도체,대분류,17.6,19.7
2015-08-01,2015-08,개별소자,개별소자,대분류,1.3,-11.3
2015-08-01,2015-08,디스플레이 패널,디스플레이,별도,24.9,-2.7
2015-08-01,2015-08,메모리,메모리,대분류,30.2,-1.5
2015-08-01,2015-08,메모리 D램,메모리,세부,15.4,-13.7
2015-08-01,2015-08,메모리 MCP,메모리,세부,12.4,31.5
2015-08-01,2015-08,메모리 낸드,메모리,세부,2.3,-30.6
2015-08-01,2015-08,반도체,반도체 합계,합계,54.5,4.0
2015-08-01,2015-08,시스템 반도체,시스템반도체,대분류,19.1,15.0
2015-09-01,2015-09,개별소자,개별소자,대분류,1.2,-14.2
2015-09-01,2015-09,디스플레이 패널,디스플레이,별도,24.5,-1.8
2015-09-01,2015-09,메모리,메모리,대분류,32.3,4.6
2015-09-01,2015-09,메모리 D램,메모리,세부,15.5,-17.3
2015-09-01,2015-09,메모리 MCP,메모리,세부,14.6,60.9
2015-09-01,2015-09,메모리 낸드,메모리,세부,2.2,-28.3
2015-09-01,2015-09,반도체,반도체 합계,합계,58.6,0.8
2015-09-01,2015-09,시스템 반도체,시스템반도체,대분류,21.1,-3.7
2015-10-01,2015-10,개별소자,개별소자,대분류,1.2,-14.2
2015-10-01,2015-10,디스플레이 패널,디스플레이,별도,25.1,2.4
2015-10-01,2015-10,메모리,메모리,대분류,29.4,-4.6
2015-10-01,2015-10,메모리 D램,메모리,세부,14.7,-20.3
2015-10-01,2015-10,메모리 MCP,메모리,세부,12.6,38.1
2015-10-01,2015-10,메모리 낸드,메모리,세부,2.0,-36.6
2015-10-01,2015-10,반도체,반도체 합계,합계,55.0,-7.5
2015-10-01,2015-10,시스템 반도체,시스템반도체,대분류,20.6,-12.8
2015-11-01,2015-11,개별소자,개별소자,대분류,1.3,0.1
2015-11-01,2015-11,디스플레이 패널,디스플레이,별도,22.0,-12.1
2015-11-01,2015-11,메모리,메모리,대분류,27.5,-13.3
2015-11-01,2015-11,메모리 D램,메모리,세부,13.9,-29.8
2015-11-01,2015-11,메모리 MCP,메모리,세부,11.4,35.5
2015-11-01,2015-11,메모리 낸드,메모리,세부,2.2,-38.0
2015-11-01,2015-11,반도체,반도체 합계,합계,51.9,-9.9
2015-11-01,2015-11,시스템 반도체,시스템반도체,대분류,19.6,-8.5
2015-12-01,2015-12,개별소자,개별소자,대분류,1.2,-7.6
2015-12-01,2015-12,디스플레이 패널,디스플레이,별도,19.9,-9.6
2015-12-01,2015-12,메모리,메모리,대분류,25.8,-16.7
2015-12-01,2015-12,메모리 D램,메모리,세부,13.0,-36.4
2015-12-01,2015-12,메모리 MCP,메모리,세부,10.8,48.2
2015-12-01,2015-12,메모리 낸드,메모리,세부,1.9,-38.2
2015-12-01,2015-12,반도체,반도체 합계,합계,47.9,-17.5
2015-12-01,2015-12,시스템 반도체,시스템반도체,대분류,17.4,-21.0
2016-01-01,2016-01,개별소자,개별소자,대분류,1.2,-8.6
2016-01-01,2016-01,디스플레이 패널,디스플레이,별도,18.2,-31.5
2016-01-01,2016-01,메모리,메모리,대분류,24.8,-12.4
2016-01-01,2016-01,메모리 D램,메모리,세부,13.2,-28.9
2016-01-01,2016-01,메모리 MCP,메모리,세부,9.4,39.1
2016-01-01,2016-01,메모리 낸드,메모리,세부,2.2,-26.0
2016-01-01,2016-01,반도체,반도체 합계,합계,45.3,-14.0
2016-01-01,2016-01,시스템 반도체,시스템반도체,대분류,15.9,-17.1
2016-02-01,2016-02,개별소자,개별소자,대분류,1.0,-2.9
2016-02-01,2016-02,디스플레이 패널,디스플레이,별도,17.6,-23.1
2016-02-01,2016-02,메모리,메모리,대분류,22.6,-15.2
2016-02-01,2016-02,메모리 D램,메모리,세부,12.0,-32.0
2016-02-01,2016-02,메모리 MCP,메모리,세부,8.6,34.8
2016-02-01,2016-02,메모리 낸드,메모리,세부,2.0,-23.9
2016-02-01,2016-02,반도체,반도체 합계,합계,41.5,-12.8
2016-02-01,2016-02,시스템 반도체,시스템반도체,대분류,14.1,-13.7
2016-03-01,2016-03,개별소자,개별소자,대분류,1.3,-2.4
2016-03-01,2016-03,디스플레이 패널,디스플레이,별도,19.6,-25.2
2016-03-01,2016-03,메모리,메모리,대분류,27.4,-1.1
2016-03-01,2016-03,메모리 D램,메모리,세부,14.4,-16.7
2016-03-01,2016-03,메모리 MCP,메모리,세부,10.7,30.5
2016-03-01,2016-03,메모리 낸드,메모리,세부,2.2,5.0
2016-03-01,2016-03,반도체,반도체 합계,합계,52.9,-1.9
2016-03-01,2016-03,시스템 반도체,시스템반도체,대분류,19.5,-6.8
2016-04-01,2016-04,개별소자,개별소자,대분류,1.2,-2.6
2016-04-01,2016-04,디스플레이 패널,디스플레이,별도,19.5,-27.3
2016-04-01,2016-04,메모리,메모리,대분류,24.3,-9.8
2016-04-01,2016-04,메모리 D램,메모리,세부,11.9,-26.1
2016-04-01,2016-04,메모리 MCP,메모리,세부,9.8,15.4
2016-04-01,2016-04,메모리 낸드,메모리,세부,2.5,12.3
2016-04-01,2016-04,반도체,반도체 합계,합계,45.5,-11.8
2016-04-01,2016-04,시스템 반도체,시스템반도체,대분류,16.0,-19.1
2016-05-01,2016-05,개별소자,개별소자,대분류,1.2,5.9
2016-05-01,2016-05,디스플레이 패널,디스플레이,별도,20.2,-24.4
2016-05-01,2016-05,메모리,메모리,대분류,28.0,7.4
2016-05-01,2016-05,메모리 D램,메모리,세부,14.0,-11.9
2016-05-01,2016-05,메모리 MCP,메모리,세부,11.4,43.9
2016-05-01,2016-05,메모리 낸드,메모리,세부,2.5,15.1
2016-05-01,2016-05,반도체,반도체 합계,합계,48.9,-4.4
2016-05-01,2016-05,시스템 반도체,시스템반도체,대분류,15.2,-25.5
2016-06-01,2016-06,개별소자,개별소자,대분류,1.2,2.7
2016-06-01,2016-06,디스플레이 패널,디스플레이,별도,19.3,-25.3
2016-06-01,2016-06,메모리,메모리,대분류,29.3,2.0
2016-06-01,2016-06,메모리 D램,메모리,세부,14.1,-22.0
2016-06-01,2016-06,메모리 MCP,메모리,세부,12.8,53.7
2016-06-01,2016-06,메모리 낸드,메모리,세부,2.3,1.3
2016-06-01,2016-06,반도체,반도체 합계,합계,52.8,-0.5
2016-06-01,2016-06,시스템 반도체,시스템반도체,대분류,17.6,-8.6
2016-07-01,2016-07,개별소자,개별소자,대분류,1.2,-6.2
2016-07-01,2016-07,디스플레이 패널,디스플레이,별도,20.7,-19.2
2016-07-01,2016-07,메모리,메모리,대분류,27.4,-3.0
2016-07-01,2016-07,메모리 D램,메모리,세부,11.7,-29.9
2016-07-01,2016-07,메모리 MCP,메모리,세부,12.7,36.6
2016-07-01,2016-07,메모리 낸드,메모리,세부,2.9,32.0
2016-07-01,2016-07,반도체,반도체 합계,합계,50.0,-2.6
2016-07-01,2016-07,시스템 반도체,시스템반도체,대분류,17.1,-3.2
2016-08-01,2016-08,개별소자,개별소자,대분류,1.3,3.1
2016-08-01,2016-08,디스플레이 패널,디스플레이,별도,23.2,-7.1
2016-08-01,2016-08,메모리,메모리,대분류,31.4,4.0
2016-08-01,2016-08,메모리 D램,메모리,세부,14.0,-9.5
2016-08-01,2016-08,메모리 MCP,메모리,세부,15.1,21.4
2016-08-01,2016-08,메모리 낸드,메모리,세부,2.3,0.5
2016-08-01,2016-08,반도체,반도체 합계,합계,55.9,2.5
2016-08-01,2016-08,시스템 반도체,시스템반도체,대분류,18.8,-1.5
2016-09-01,2016-09,개별소자,개별소자,대분류,1.3,5.2
2016-09-01,2016-09,디스플레이 패널,디스플레이,별도,23.5,-3.8
2016-09-01,2016-09,메모리,메모리,대분류,32.7,1.0
2016-09-01,2016-09,메모리 D램,메모리,세부,14.5,-6.2
2016-09-01,2016-09,메모리 MCP,메모리,세부,15.6,6.9
2016-09-01,2016-09,메모리 낸드,메모리,세부,2.4,12.9
2016-09-01,2016-09,반도체,반도체 합계,합계,57.0,-2.6
2016-09-01,2016-09,시스템 반도체,시스템반도체,대분류,18.6,-11.8
2016-10-01,2016-10,개별소자,개별소자,대분류,1.3,5.4
2016-10-01,2016-10,디스플레이 패널,디스플레이,별도,23.9,-4.7
2016-10-01,2016-10,메모리,메모리,대분류,32.7,11.3
2016-10-01,2016-10,메모리 D램,메모리,세부,15.9,7.8
2016-10-01,2016-10,메모리 MCP,메모리,세부,14.4,14.4
2016-10-01,2016-10,메모리 낸드,메모리,세부,2.3,17.6
2016-10-01,2016-10,반도체,반도체 합계,합계,55.9,1.7
2016-10-01,2016-10,시스템 반도체,시스템반도체,대분류,17.8,-13.8
2016-11-01,2016-11,개별소자,개별소자,대분류,1.3,3.6
2016-11-01,2016-11,디스플레이 패널,디스플레이,별도,22.6,2.4
2016-11-01,2016-11,메모리,메모리,대분류,34.8,26.5
2016-11-01,2016-11,메모리 D램,메모리,세부,15.0,7.9
2016-11-01,2016-11,메모리 MCP,메모리,세부,17.2,51.2
2016-11-01,2016-11,메모리 낸드,메모리,세부,2.5,15.8
2016-11-01,2016-11,반도체,반도체 합계,합계,57.9,11.6
2016-11-01,2016-11,시스템 반도체,시스템반도체,대분류,17.5,-10.9
2016-12-01,2016-12,개별소자,개별소자,대분류,1.3,4.6
2016-12-01,2016-12,디스플레이 패널,디스플레이,별도,22.8,14.5
2016-12-01,2016-12,메모리,메모리,대분류,36.8,42.9
2016-12-01,2016-12,메모리 D램,메모리,세부,16.0,22.8
2016-12-01,2016-12,메모리 MCP,메모리,세부,18.2,68.8
2016-12-01,2016-12,메모리 낸드,메모리,세부,2.6,33.1
2016-12-01,2016-12,반도체,반도체 합계,합계,58.6,22.4
2016-12-01,2016-12,시스템 반도체,시스템반도체,대분류,16.7,-4.2
2017-01-01,2017-01,개별소자,개별소자,대분류,3.9,-15.5
2017-01-01,2017-01,디스플레이 패널,디스플레이,별도,21.9,20.6
2017-01-01,2017-01,메모리,메모리,대분류,40.8,64.6
2017-01-01,2017-01,메모리 D램,메모리,세부,17.6,33.3
2017-01-01,2017-01,메모리 MCP,메모리,세부,11.7,24.9
2017-01-01,2017-01,메모리 낸드,메모리,세부,3.0,34.9
2017-01-01,2017-01,반도체,반도체 합계,합계,63.2,39.5
2017-01-01,2017-01,시스템 반도체,시스템반도체,대분류,18.4,16.1
2017-02-01,2017-02,개별소자,개별소자,대분류,4.2,-11.7
2017-02-01,2017-02,디스플레이 패널,디스플레이,별도,21.2,20.1
2017-02-01,2017-02,메모리,메모리,대분류,41.9,85.1
2017-02-01,2017-02,메모리 D램,메모리,세부,17.7,47.5
2017-02-01,2017-02,메모리 MCP,메모리,세부,12.5,45.2
2017-02-01,2017-02,메모리 낸드,메모리,세부,3.0,50.1
