지역,품목,그룹,연도,구분,금액_억불
일본,메모리반도체,메모리,2013,수출,3.858
일본,디지털 집적회로반도체,시스템반도체,2013,수출,5.637
일본,기타 집적회로반도체,시스템반도체,2013,수출,0.353
일본,"다이오드, 트랜지스터 및 유사 반도체소자",개별소자,2013,수출,9.147
대만,메모리반도체,메모리,2013,수출,16.628
대만,디지털 집적회로반도체,시스템반도체,2013,수출,12.722
대만,기타 집적회로반도체,시스템반도체,2013,수출,0.949
대만,"다이오드, 트랜지스터 및 유사 반도체소자",개별소자,2013,수출,3.574
필리핀,메모리반도체,메모리,2013,수출,14.751
필리핀,디지털 집적회로반도체,시스템반도체,2013,수출,7.27
필리핀,기타 집적회로반도체,시스템반도체,2013,수출,0.445
필리핀,"다이오드, 트랜지스터 및 유사 반도체소자",개별소자,2013,수출,0.265
홍콩,메모리반도체,메모리,2013,수출,24.953
홍콩,디지털 집적회로반도체,시스템반도체,2013,수출,24.489
홍콩,기타 집적회로반도체,시스템반도체,2013,수출,23.561
홍콩,"다이오드, 트랜지스터 및 유사 반도체소자",개별소자,2013,수출,6.385
말레이시아,메모리반도체,메모리,2013,수출,0.805
말레이시아,디지털 집적회로반도체,시스템반도체,2013,수출,3.935
말레이시아,기타 집적회로반도체,시스템반도체,2013,수출,0.877
말레이시아,"다이오드, 트랜지스터 및 유사 반도체소자",개별소자,2013,수출,0.456
싱가포르,메모리반도체,메모리,2013,수출,5.431
싱가포르,디지털 집적회로반도체,시스템반도체,2013,수출,40.805
싱가포르,기타 집적회로반도체,시스템반도체,2013,수출,8.42
싱가포르,"다이오드, 트랜지스터 및 유사 반도체소자",개별소자,2013,수출,1.424
인도네시아,메모리반도체,메모리,2013,수출,0.199
인도네시아,디지털 집적회로반도체,시스템반도체,2013,수출,0.262
인도네시아,기타 집적회로반도체,시스템반도체,2013,수출,0.001
인도네시아,"다이오드, 트랜지스터 및 유사 반도체소자",개별소자,2013,수출,0.104
태국,메모리반도체,메모리,2013,수출,1.117
태국,디지털 집적회로반도체,시스템반도체,2013,수출,0.669
태국,기타 집적회로반도체,시스템반도체,2013,수출,0.311
태국,"다이오드, 트랜지스터 및 유사 반도체소자",개별소자,2013,수출,0.919
인도,메모리반도체,메모리,2013,수출,0.1
인도,디지털 집적회로반도체,시스템반도체,2013,수출,0.698
인도,기타 집적회로반도체,시스템반도체,2013,수출,0.189
인도,"다이오드, 트랜지스터 및 유사 반도체소자",개별소자,2013,수출,0.213
베트남,메모리반도체,메모리,2013,수출,0.546
베트남,디지털 집적회로반도체,시스템반도체,2013,수출,7.7
베트남,기타 집적회로반도체,시스템반도체,2013,수출,5.682
베트남,"다이오드, 트랜지스터 및 유사 반도체소자",개별소자,2013,수출,3.582
중국,메모리반도체,메모리,2013,수출,82.004
중국,디지털 집적회로반도체,시스템반도체,2013,수출,30.667
중국,기타 집적회로반도체,시스템반도체,2013,수출,57.687
중국,"다이오드, 트랜지스터 및 유사 반도체소자",개별소자,2013,수출,30.55
사우디아라비아,메모리반도체,메모리,2013,수출,0.0
사우디아라비아,디지털 집적회로반도체,시스템반도체,2013,수출,0.003
사우디아라비아,기타 집적회로반도체,시스템반도체,2013,수출,0.0
사우디아라비아,"다이오드, 트랜지스터 및 유사 반도체소자",개별소자,2013,수출,0.011
아랍에미리트,메모리반도체,메모리,2013,수출,0.0
아랍에미리트,디지털 집적회로반도체,시스템반도체,2013,수출,0.015
아랍에미리트,기타 집적회로반도체,시스템반도체,2013,수출,0.0
아랍에미리트,"다이오드, 트랜지스터 및 유사 반도체소자",개별소자,2013,수출,0.011
프랑스,메모리반도체,메모리,2013,수출,0.03
프랑스,디지털 집적회로반도체,시스템반도체,2013,수출,0.3
프랑스,기타 집적회로반도체,시스템반도체,2013,수출,0.004
프랑스,"다이오드, 트랜지스터 및 유사 반도체소자",개별소자,2013,수출,0.439
이탈리아,메모리반도체,메모리,2013,수출,0.002
이탈리아,디지털 집적회로반도체,시스템반도체,2013,수출,0.064
이탈리아,기타 집적회로반도체,시스템반도체,2013,수출,0.017
이탈리아,"다이오드, 트랜지스터 및 유사 반도체소자",개별소자,2013,수출,0.274
독일,메모리반도체,메모리,2013,수출,1.725
독일,디지털 집적회로반도체,시스템반도체,2013,수출,2.48
독일,기타 집적회로반도체,시스템반도체,2013,수출,0.063
독일,"다이오드, 트랜지스터 및 유사 반도체소자",개별소자,2013,수출,1.236
네덜란드,메모리반도체,메모리,2013,수출,0.122
네덜란드,디지털 집적회로반도체,시스템반도체,2013,수출,0.551
네덜란드,기타 집적회로반도체,시스템반도체,2013,수출,0.005
네덜란드,"다이오드, 트랜지스터 및 유사 반도체소자",개별소자,2013,수출,0.537
영국,메모리반도체,메모리,2013,수출,3.203
영국,디지털 집적회로반도체,시스템반도체,2013,수출,0.132
영국,기타 집적회로반도체,시스템반도체,2013,수출,0.023
영국,"다이오드, 트랜지스터 및 유사 반도체소자",개별소자,2013,수출,0.134
벨기에,메모리반도체,메모리,2013,수출,0.0
벨기에,디지털 집적회로반도체,시스템반도체,2013,수출,0.083
벨기에,기타 집적회로반도체,시스템반도체,2013,수출,0.0
벨기에,"다이오드, 트랜지스터 및 유사 반도체소자",개별소자,2013,수출,0.171
스페인,메모리반도체,메모리,2013,수출,0.0
스페인,디지털 집적회로반도체,시스템반도체,2013,수출,0.008
스페인,기타 집적회로반도체,시스템반도체,2013,수출,0.001
